t,marker,ok,dt_ms,roll_deg,pitch_deg,yaw_deg,gx,gy,gz,L_roll_deg,L_pitch_deg,L_yaw_deg,R_roll_deg,R_pitch_deg,R_yaw_deg,disagree_deg,Lq0,Lq1,Lq2,Lq3,Rq0,Rq1,Rq2,Rq3,Fq0,Fq1,Fq2,Fq3,Lgx,Lgy,Lgz,Rgx,Rgy,Rgz
0.3955,0,1,0.00,-38.070,-1.095,-2.675,0.00042,-0.00008,0.00022,0.593,-0.222,-5.209,-76.731,-0.193,-0.152,77.445,0.998952,0.005078,-0.002169,-0.045427,0.784062,-0.620678,-0.000499,-0.002085,0.944947,-0.326250,-0.001414,-0.025180,-0.00025,0.00015,-0.00044,0.00108,-0.00030,0.00088
0.4036,0,1,8.08,-38.070,-1.093,-2.675,-0.00025,0.00112,0.00062,0.592,-0.220,-5.207,-76.731,-0.193,-0.152,77.445,0.998953,0.005077,-0.002151,-0.045413,0.784062,-0.620679,-0.000500,-0.002089,0.944947,-0.326252,-0.001405,-0.025175,-0.00051,0.00202,0.00142,0.00001,0.00023,-0.00019
0.6851,0,1,281.54,-38.065,-1.100,-2.675,-0.00040,-0.00127,-0.00125,0.595,-0.228,-5.209,-76.723,-0.198,-0.152,77.438,0.998952,0.005095,-0.002225,-0.045428,0.784107,-0.620622,-0.000536,-0.002113,0.944961,-0.326208,-0.001463,-0.025195,-0.00078,-0.00064,-0.00071,-0.00001,-0.00190,-0.00179
0.6934,0,1,8.31,-38.065,-1.100,-2.674,0.00014,-0.00047,-0.00005,0.595,-0.228,-5.207,-76.723,-0.198,-0.152,77.438,0.998953,0.005093,-0.002220,-0.045411,0.784107,-0.620622,-0.000536,-0.002113,0.944961,-0.326209,-0.001461,-0.025186,0.00029,0.00096,0.00169,-0.00001,-0.00190,-0.00179
0.9923,0,1,298.86,-38.066,-1.098,-2.679,-0.00107,-0.00048,0.00089,0.595,-0.226,-5.205,-76.725,-0.201,-0.163,77.440,0.998954,0.005095,-0.002210,-0.045394,0.784094,-0.620638,-0.000496,-0.002204,0.944957,-0.326217,-0.001434,-0.025225,-0.00079,-0.00064,0.00035,-0.00134,-0.00032,0.00143
1.0004,0,1,8.09,-38.066,-1.098,-2.680,-0.00173,-0.00048,0.00062,0.593,-0.226,-5.205,-76.725,-0.201,-0.163,77.438,0.998954,0.005081,-0.002203,-0.045396,0.784094,-0.620638,-0.000496,-0.002204,0.944955,-0.326224,-0.001431,-0.025226,-0.00212,-0.00064,-0.00018,-0.00134,-0.00032,0.00143
1.4913,0,1,490.93,-38.064,-1.098,-2.676,-0.00054,-0.00008,-0.00032,0.591,-0.229,-5.199,-76.718,-0.202,-0.164,77.428,0.998956,0.005060,-0.002232,-0.045339,0.784135,-0.620586,-0.000493,-0.002213,0.944963,-0.326203,-0.001444,-0.025201,-0.00051,0.00017,-0.00047,-0.00056,-0.00032,-0.00018
1.6964,0,1,205.09,-38.066,-1.099,-2.682,0.00066,0.00125,-0.00084,0.592,-0.226,-5.207,-76.723,-0.204,-0.165,77.435,0.998953,0.005074,-0.002206,-0.045410,0.784105,-0.620624,-0.000501,-0.002229,0.944956,-0.326219,-0.001434,-0.025247,0.00082,0.00123,-0.00125,0.00051,0.00128,-0.00044
1.7939,0,1,97.50,-38.067,-1.100,-2.683,0.00040,-0.00128,-0.00043,0.592,-0.222,-5.209,-76.726,-0.208,-0.162,77.438,0.998952,0.005075,-0.002169,-0.045432,0.784091,-0.620642,-0.000547,-0.002236,0.944952,-0.326229,-0.001439,-0.025263,0.00055,-0.00038,-0.00017,0.00025,-0.00219,-0.00070
1.8045,0,1,10.65,-38.066,-1.100,-2.682,-0.00054,-0.00048,0.00023,0.594,-0.223,-5.207,-76.726,-0.207,-0.163,77.440,0.998953,0.005093,-0.002181,-0.045414,0.784092,-0.620640,-0.000533,-0.002232,0.944956,-0.326220,-0.001438,-0.025251,-0.00025,-0.00145,0.00009,-0.00082,0.00048,0.00037
2.2029,0,1,398.33,-38.068,-1.099,-2.683,-0.00027,0.00125,0.00037,0.591,-0.219,-5.206,-76.727,-0.209,-0.164,77.438,0.998954,0.005067,-0.002144,-0.045405,0.784087,-0.620647,-0.000545,-0.002256,0.944950,-0.326236,-0.001425,-0.025259,-0.00025,0.00068,0.00116,-0.00029,0.00182,-0.00042
2.2208,0,1,17.90,-38.074,-1.096,-2.686,-0.00119,-0.00076,0.00143,0.588,-0.217,-5.207,-76.736,-0.207,-0.168,77.444,0.998953,0.005044,-0.002125,-0.045410,0.784035,-0.620713,-0.000505,-0.002272,0.944932,-0.326287,-0.001394,-0.025270,-0.00104,-0.00093,0.00142,-0.00134,-0.00060,0.00144
2.5273,0,1,306.57,-38.074,-1.099,-2.682,-0.00025,0.00031,-0.00044,0.591,-0.225,-5.210,-76.738,-0.202,-0.163,77.449,0.998952,0.005061,-0.002199,-0.045437,0.784027,-0.620723,-0.000501,-0.002207,0.944933,-0.326285,-0.001431,-0.025250,0.00004,-0.00066,-0.00044,-0.00053,0.00128,-0.00044
2.5470,0,1,19.70,-38.074,-1.100,-2.684,-0.00038,0.00071,-0.00150,0.592,-0.227,-5.212,-76.740,-0.202,-0.165,77.452,0.998951,0.005071,-0.002211,-0.045459,0.784016,-0.620736,-0.000492,-0.002224,0.944931,-0.326288,-0.001432,-0.025271,0.00110,-0.00039,-0.00230,-0.00186,0.00181,-0.00070
2.8180,0,1,270.96,-38.075,-1.102,-2.683,0.00002,-0.00075,-0.00017,0.591,-0.229,-5.212,-76.741,-0.204,-0.162,77.452,0.998951,0.005060,-0.002228,-0.045460,0.784009,-0.620746,-0.000515,-0.002213,0.944928,-0.326299,-0.001454,-0.025266,-0.00050,-0.00039,-0.00017,0.00055,-0.00112,-0.00017
3.1252,0,1,307.22,-38.077,-1.104,-2.681,-0.00023,0.00098,0.00077,0.589,-0.233,-5.209,-76.742,-0.205,-0.163,77.451,0.998952,0.005039,-0.002269,-0.045430,0.784002,-0.620755,-0.000516,-0.002226,0.944923,-0.326314,-0.001476,-0.025256,-0.00048,0.00015,0.00116,0.00002,0.00182,0.00037
3.1550,0,1,29.77,-38.078,-1.102,-2.684,-0.00170,-0.00103,-0.00124,0.589,-0.232,-5.212,-76.745,-0.201,-0.166,77.454,0.998951,0.005044,-0.002255,-0.045457,0.783987,-0.620773,-0.000478,-0.002226,0.944919,-0.326323,-0.001449,-0.025271,-0.00235,-0.00119,-0.00257,-0.00105,-0.00086,0.00010
3.9606,0,1,805.63,-38.075,-1.102,-2.685,-0.00062,-0.00050,0.00063,0.606,-0.233,-5.218,-76.756,-0.198,-0.164,77.482,0.998948,0.005189,-0.002271,-0.045509,0.783930,-0.620845,-0.000465,-0.002190,0.944928,-0.326299,-0.001450,-0.025281,-0.00022,-0.00120,0.00091,-0.00102,0.00021,0.00035
3.9685,0,1,7.84,-38.074,-1.099,-2.682,0.00005,-0.00023,-0.00004,0.608,-0.229,-5.212,-76.756,-0.197,-0.162,77.484,0.998950,0.005210,-0.002237,-0.045458,0.783931,-0.620844,-0.000464,-0.002177,0.944932,-0.326288,-0.001432,-0.025247,0.00004,0.00039,-0.00097,0.00005,-0.00086,0.00088
4.0752,0,1,106.78,-38.075,-1.102,-2.683,-0.00169,0.00070,-0.00057,0.607,-0.231,-5.213,-76.756,-0.200,-0.164,77.482,0.998950,0.005198,-0.002255,-0.045469,0.783930,-0.620846,-0.000480,-0.002205,0.944929,-0.326294,-0.001450,-0.025267,-0.00263,0.00120,0.00037,-0.00075,0.00021,-0.00152
4.0801,0,1,4.88,-38.074,-1.101,-2.683,-0.00022,0.00044,-0.00004,0.608,-0.230,-5.212,-76.756,-0.200,-0.164,77.483,0.998950,0.005205,-0.002249,-0.045455,0.783930,-0.620846,-0.000480,-0.002205,0.944931,-0.326291,-0.001446,-0.025260,0.00031,0.00066,0.00143,-0.00075,0.00021,-0.00152
4.3655,0,1,285.41,-38.067,-1.103,-2.679,0.00017,-0.00036,0.00049,0.614,-0.233,-5.208,-76.749,-0.202,-0.161,77.483,0.998952,0.005264,-0.002275,-0.045419,0.783969,-0.620796,-0.000508,-0.002193,0.944951,-0.326233,-0.001475,-0.025235,-0.00050,0.00066,0.00089,0.00084,-0.00139,0.00009
4.3731,0,1,7.54,-38.067,-1.102,-2.678,-0.00036,0.00044,0.00102,0.616,-0.232,-5.206,-76.750,-0.201,-0.161,77.485,0.998952,0.005276,-0.002264,-0.045403,0.783962,-0.620805,-0.000503,-0.002190,0.944952,-0.326233,-0.001466,-0.025224,0.00031,0.00066,0.00169,-0.00103,0.00021,0.00036
4.9677,0,1,594.66,-38.066,-1.099,-2.681,0.00043,-0.00038,-0.00071,0.614,-0.231,-5.206,-76.745,-0.198,-0.167,77.479,0.998952,0.005262,-0.002255,-0.045405,0.783988,-0.620772,-0.000448,-0.002218,0.944956,-0.326219,-0.001432,-0.025241,0.00003,-0.00095,0.00009,0.00083,0.00020,-0.00152
5.2752,0,1,307.51,-38.063,-1.102,-2.678,-0.00024,0.00070,-0.00085,0.617,-0.233,-5.200,-76.743,-0.204,-0.166,77.478,0.998955,0.005284,-0.002276,-0.045348,0.784001,-0.620755,-0.000499,-0.002243,0.944963,-0.326199,-0.001471,-0.025223,-0.00024,0.00092,-0.00046,-0.00024,0.00047,-0.00123
5.2980,0,1,22.79,-38.069,-1.104,-2.674,0.00057,0.00031,0.00022,0.612,-0.238,-5.198,-76.748,-0.202,-0.164,77.479,0.998956,0.005240,-0.002321,-0.045330,0.783971,-0.620793,-0.000493,-0.002218,0.944949,-0.326243,-0.001492,-0.025200,0.00110,-0.00013,0.00060,0.00004,0.00074,-0.00017
5.3436,0,1,45.55,-38.070,-1.103,-2.677,0.00017,0.00164,-0.00071,0.610,-0.237,-5.200,-76.749,-0.202,-0.166,77.478,0.998955,0.005226,-0.002310,-0.045353,0.783965,-0.620801,-0.000482,-0.002233,0.944945,-0.326254,-0.001480,-0.025220,-0.00077,0.00147,-0.00046,0.00111,0.00181,-0.00097
5.6893,0,1,345.71,-38.067,-1.094,-2.677,0.00163,-0.00024,0.00061,0.615,-0.231,-5.203,-76.748,-0.189,-0.166,77.483,0.998953,0.005271,-0.002260,-0.045380,0.783971,-0.620794,-0.000392,-0.002163,0.944954,-0.326228,-0.001405,-0.025198,0.00136,-0.00042,-0.00045,0.00191,-0.00007,0.00168
5.7871,0,1,97.81,-38.071,-1.092,-2.680,-0.00009,-0.00038,-0.00059,0.608,-0.226,-5.204,-76.749,-0.191,-0.168,77.476,0.998954,0.005208,-0.002207,-0.045383,0.783969,-0.620796,-0.000398,-0.002184,0.944943,-0.326260,-0.001381,-0.025210,-0.00157,-0.00042,-0.00125,0.00138,-0.00034,0.00008
6.1968,0,1,409.71,-38.073,-1.091,-2.680,0.00058,-0.00038,0.00141,0.606,-0.224,-5.201,-76.751,-0.191,-0.170,77.477,0.998955,0.005195,-0.002194,-0.045357,0.783954,-0.620815,-0.000388,-0.002200,0.944937,-0.326277,-0.001369,-0.025205,0.00031,-0.00015,0.00221,0.00085,-0.00061,0.00061
6.5042,0,1,307.35,-38.074,-1.095,-2.671,0.00192,-0.00104,0.00087,0.602,-0.227,-5.188,-76.750,-0.199,-0.163,77.471,0.998960,0.005161,-0.002216,-0.045250,0.783962,-0.620804,-0.000476,-0.002196,0.944935,-0.326286,-0.001427,-0.025146,0.00218,-0.00123,-0.00102,0.00166,-0.00086,0.00276
6.8115,0,1,307.36,-38.070,-1.100,-2.669,0.00004,0.00004,-0.00059,0.608,-0.232,-5.188,-76.747,-0.203,-0.161,77.474,0.998960,0.005208,-0.002264,-0.045248,0.783975,-0.620789,-0.000521,-0.002202,0.944946,-0.326255,-0.001476,-0.025148,-0.00023,0.00039,-0.00102,0.00032,-0.00032,-0.00017
6.8355,0,1,24.02,-38.067,-1.097,-2.672,0.00030,0.00069,0.00088,0.612,-0.223,-5.187,-76.746,-0.207,-0.163,77.477,0.998960,0.005251,-0.002189,-0.045239,0.783982,-0.620779,-0.000532,-0.002238,0.944955,-0.326229,-0.001442,-0.025163,0.00135,0.00063,0.00085,-0.00075,0.00075,0.00091
7.1467,0,1,311.19,-38.066,-1.100,-2.668,0.00110,0.00002,-0.00005,0.619,-0.220,-5.178,-76.751,-0.218,-0.158,77.488,0.998963,0.005308,-0.002164,-0.045157,0.783953,-0.620815,-0.000633,-0.002264,0.944958,-0.326223,-0.001483,-0.025133,0.00079,-0.00099,0.00002,0.00140,0.00103,-0.00013
7.1523,0,1,5.56,-38.067,-1.101,-2.669,0.00003,0.00029,-0.00045,0.618,-0.221,-5.180,-76.751,-0.218,-0.158,77.487,0.998962,0.005300,-0.002171,-0.045180,0.783953,-0.620815,-0.000633,-0.002264,0.944956,-0.326227,-0.001486,-0.025146,-0.00134,-0.00045,-0.00077,0.00140,0.00103,-0.00013
7.5073,0,1,355.00,-38.064,-1.102,-2.668,-0.00078,-0.00144,-0.00085,0.616,-0.224,-5.178,-76.744,-0.219,-0.159,77.478,0.998963,0.005285,-0.002196,-0.045158,0.783994,-0.620764,-0.000637,-0.002277,0.944964,-0.326203,-0.001501,-0.025141,-0.00134,-0.00071,-0.00104,-0.00021,-0.00217,-0.00065
